"",,,,,,,"des zéros à gauche, ou le top mutualiste «M » en position 128,"
"",,,,,,,la zone étant complétée par des blancs.
"",,,,,,,Voir codification en annexe 8 - JUSTIFICATION DES DROITS
Nature de la pièce justificative des droits,1,251,251,2,58,O,
"",,,,,,,AMO
"",,,,,,,Obligatoire si l’établissement a indiqué qu’il possède une prise
"",,,,,,,en charge. Indiquer la date de prise en charge par l’organisme
Prise en charge établie le,8,252,259,2,59-64,F,
"",,,,,,,d’Assurance maladie.ATTENTION format différent de B2
"",,,,,,,JJMMAAAA
"",,,,,,,Obligatoire si l’établissement a indiqué que l’assuré a présenté
"Attestation de droits, carte Vitale ou prise en",,,,,,,"une attestation de droits, une carte Vitale ou une prise en"
"",8,260,267,2,65-70,F,
charge valable à compter du.,,,,,,,charge. Indiquer la date de validité de cette attestation.
"",,,,,,,ATTENTION format différent de B2 JJMMAAAA
"",,,,,,,
"",,,,,,,"Code de l’organisme ayant délivré l’attestation de droits, la carte"
Délivrée par,3,268,270,2,71-73,F,"Vitale ou la prise en charge. (A prendre sur l’attestation de droits,"
"",,,,,,,la carte Vitale ou la prise en charge)
"",,,,,,,A reprendre sur la prise en charge ou laisser à 000. Cette
"",,,,,,,"information est obligatoire, en cas de présence de types 2B/2C,"
Régime de prestation de l’assuré,3,271,273,2,74-76,F,"pour les bénéficiaires relevant de la subsistance « F212 », au"
"",,,,,,,sens du décret du 22.12.1967 (ex : bénéficiaires hospitalisés
"",,,,,,,"MECS, ...)"
"",,,,,,,Valeur « F » : éclatement du flux à la source par l’établissement.
Top éclatement des flux par l’établissement,1,274,274,2,95,F,La part AMC est transmise sur une facture distincte (hors CMU
"",,,,,,,uniquement). A blanc : Pas d’éclatement à la source.
"",,,,,,,Date d’entrée de l’hospitalisé dans l’établissement qui présente
Date d’entrée,8,275,282,2,103-108,O,la facture (ou date de début de facturation). ATTENTION format
"",,,,,,,différent de B2 JJMMAAAA
"",,,,,,,"Indiquer la date de sortie réelle si tel est le cas, ou la date limite"
Date de sortie,8,283,290,2,109-114,O,de facturation s’il s’agit d’une facturation partielle. ATTENTION
"",,,,,,,format différent de B2 JJMMAAAA
"",,,,,,,Indicateur Simphonie
Montant total du séjour facturé au patient,8,291,298,,,N,
"",,,,,,,Montant facturé au titre de la part patient
"",,,,,,,Indicateur Simphonie
Rejet AMO,1,299,299,,,O,
"",,,,,,,Nombre de fois où FT AMO a été rejetée (0 à 9)
"",,,,,,,Indicateur Simphonie
Date de facturation AMO,8,300,307,,,N,
"",,,,,,,Date de l’envoi de la FT AMO
"",,,,,,,Indicateur Simphonie
Date de facturation AMC,8,308,315,,,N,
"",,,,,,,Date de l’envoi de la FT AMC
"",,,,,,,Indicateur Simphonie
Date de facturation patient,8,316,323,,,N,
"",,,,,,,Date de l’envoi de la FT patient
"",,,,,,,Indicateur Simphonie
Date de paiement AMO,8,324,331,,,N,
"",,,,,,,Date à laquelle la FT AMO est payée en totalité (statut S16)
"",,,,,,,Indicateur Simphonie
Date de paiement AMC,8,332,339,,,N,
"",,,,,,,Date à laquelle la FT AMC est payée en totalité (statut S16)
"",,,,,,,Indicateur Simphonie
Date de paiement patient,8,340,347,,,N,
"",,,,,,,Date à laquelle la FT patient est payée en totalité (statut S16)
"",,,,,,,0 : avant FT validée (statut S2 à S5)
Statut FT AMO,1,348,348,,,O,
"",,,,,,,"1 : FT validée (statut S6 à S12, S14, S19, et S20)"
"",,,,,,,
"",,,,,,,2 : FT en NiNi (statut S13)
"",,,,,,,3 : FT payée (S15+S16+S17+S18)
"",,,,,,,9 :  sans objet
"",,,,,,,0 : avant FT validée (statut S2 à S5)
"",,,,,,,"1 : FT validée (statut S6 à S12, S14, S19, et S20)"
Statut FT AMC,1,349,349,,,O,2 : FT en NiNi (statut S13)
"",,,,,,,3 : FT payée (S15+S16+S17+S18)
"",,,,,,,9 :  sans objet
"",,,,,,,0 : avant FT validée (statut S2 à S5)
"",,,,,,,"1 : FT validée (statut S6 à S12, S14, S19, et S20)"
Statut FT patient,1,350,350,,,O,2 : FT en NiNi (statut S13)
"",,,,,,,3 : FT payée (S15+S16+S17+S18)
"",,,,,,,9 :  sans objet
"",,,,,,,"Code INSEE à 5 chiffres, sans les deux premiers chiffres 99."
"",,,,,,,Ou bien code ISO ISO 3166-1 Alpha-3.
"",,,,,,,"Pour renseigner cette donnée,  il est important de prendre en"
"",,,,,,,compte le contexte assurantiel du patient (et non son pays
"",,,,,,,"d’origine).Par exemple, un patient français peut avoir une"
Pays d’assurance social,3,351,353,,,O,
"",,,,,,,"assurance étrangère (anglaise, américaine ou autre...). De"
"",,,,,,,"même, un patient américain peut avoir une assurance anglaise"
"",,,,,,,ou autre. Le code pays à renseigner est bien le code pays de
"",,,,,,,l’assurance du patient. » Mettre 000 ou laisser à blanc quand
"",,,,,,,l’information n’est pas disponible.
"",,,,,,,Obligatoire pour le receveur des hôpitaux publics. Complément
Complément au numéro de titre de recette,6,354,359,2S,42-47,F,
"",,,,,,,au numéro de titre de recette (position 30-38 du type 2 CP).
"",,,,,,,Valeur « O » si le bénéficiaire a déclaré un médecin traitant.
Top déclaration de médecin traitant,1,360,360,2S,71,F,Valeur « N » si le bénéficiaire n’a pas déclaré de médecin
"",,,,,,,traitant. A blanc dans les autres situations.
Nom du médecin traitant ou du praticien qui a,,,,,,,A renseigner pour les factures médecins : Obligatoire si le
"",25,361,385,2S,72-96,F,
orienté le patient,,,,,,,patient est orienté.
Prénom du médecin traitant ou du praticien qui a,,,,,,,A renseigner pour les factures médecins : Obligatoire si le
"",15,386,400,2S,97-111,F,
orienté le patient,,,,,,,patient est orienté.
"",,,,,,,Valeurs possibles dans le cadre du parcours de soins : Cf.
Indicateur du parcours de soins,1,401,401,2S,121,F,
"",,,,,,,annexe 25.
"",,,,,,,"0 : Non | 1 : Oui, laisser à vide si pas d'information ou non"
CMUC en gestion unique,1,402,402,,,F,
"",,,,,,,applicable
"",,,,,,,N° FINESS de l’établissement destinataire en cas de transfert >
"Établissement de Transfert",14,403,416,3S,67-80,F,
"",,,,,,,48h
"",,,,,,,
"",,,,,,,N° FINESS de l’établissement de transfert lorsque le patient
"Établissement de Retour",14,417,430,3S,67-80,F,
"",,,,,,,revient dans l'établissement d'origine
Nombre de disciplines de prestations (N),2,431,432,,,O,
DMT n°1: Discipline de prestations (ex DMT),3,,,3,41-43,F,
Mode de traitement,2,,,3,39-40,F,
Date de début de séjour,8,,,3,44-49,O,ATTENTION format différent de B2 JJMMAAAA
Date de fin de séjour,8,,,3,50-55,O,ATTENTION format différent de B2 JJMMAAAA
Prix unitaire,7,,,3,76-82,O,5+2
Base de remboursement,8,,,3,83-90,O,6+2
Taux applicable à la prestation,3,,,3,91-93,O,
Montant remboursable par la caisse,8,,,3,94-101,O,6+2
"...",,,,,,,
DMT n° N: Discipline de prestations (ex DMT),3,,,3,41-43,F,
Mode de traitement,2,,,3,39-40,F,
Date de début de séjour,8,,,3,44-49,O,ATTENTION format différent de B2 JJMMAAAA
Date de fin de séjour,8,,,3,50-55,O,ATTENTION format différent de B2 JJMMAAAA
Prix unitaire,7,,,3,76-82,O,5+2
Base de remboursement,8,,,3,83-90,O,6+2
Taux applicable à la prestation,3,,,3,91-93,O,
Montant remboursable par la caisse,8,,,3,94-101,O,6+2
